lang_pair,source_lang,target_lang,n_shards_in,n_shards_out,rows_total,rows_scored,rows_failed,mean_score,elapsed_sec
cym_Latn-wln_Latn,cym_Latn,wln_Latn,1,1,31055,31048,7,0.6117,360.7
ars_Arab-nor_Latn,ars_Arab,nor_Latn,1,1,162248,162196,52,0.6796,1784.0
lua_Latn-run_Latn,lua_Latn,run_Latn,1,1,84275,84192,83,0.4989,926.9
epo_Latn-nds_Latn,epo_Latn,nds_Latn,1,1,131947,131939,8,0.4906,2282.9
nob_Latn-sqi_Latn,nob_Latn,sqi_Latn,1,1,346217,345490,727,0.5872,4265.5
ars_Arab-sin_Sinh,ars_Arab,sin_Sinh,1,1,84371,84368,3,0.5371,839.9
cym_Latn-yue_Hani,cym_Latn,yue_Hani,1,1,117036,117036,0,0.1167,1191.4
lua_Latn-sna_Latn,lua_Latn,sna_Latn,1,1,103341,103229,112,0.4781,1048.5
nob_Latn-srd_Latn,nob_Latn,srd_Latn,1,1,51552,51538,14,0.4509,763.3
ary_Arab-epo_Latn,ary_Arab,epo_Latn,1,1,46792,46784,8,0.6579,691.2
epo_Latn-und_Kana,epo_Latn,und_Kana,1,1,92691,92691,0,0.6335,1383.1
lug_Latn-nso_Latn,lug_Latn,nso_Latn,1,1,80158,80099,59,0.2615,784.0
fry_Latn-nds_Latn,fry_Latn,nds_Latn,1,1,37886,37879,7,0.6589,595.5
nob_Latn-sun_Latn,nob_Latn,sun_Latn,1,1,66287,66267,20,0.5955,786.3
epo_Latn-fry_Latn,epo_Latn,fry_Latn,1,1,151562,151559,3,0.3086,1510.8
ary_Arab-mal_Mlym,ary_Arab,mal_Mlym,1,1,102809,102796,13,0.3138,971.5
epo_Latn-fur_Latn,epo_Latn,fur_Latn,1,1,33513,33513,0,0.5514,294.3
lug_Latn-nya_Latn,lug_Latn,nya_Latn,1,1,129805,129748,57,0.4285,1163.5
ibo_Latn-sna_Latn,ibo_Latn,sna_Latn,1,1,407139,406077,1062,0.5594,4589.8
ary_Arab-mkd_Cyrl,ary_Arab,mkd_Cyrl,1,1,92724,92615,109,0.7195,846.2
epo_Latn-guj_Gujr,epo_Latn,guj_Gujr,1,1,86207,86205,2,0.7943,958.3
lug_Latn-run_Latn,lug_Latn,run_Latn,1,1,86079,86045,34,0.4447,772.5
guj_Gujr-mag_Deva,guj_Gujr,mag_Deva,1,1,163550,163530,20,0.1639,2713.6
epo_Latn-hbs_Latn,epo_Latn,hbs_Latn,1,1,122469,122469,0,0.5545,1411.7
lug_Latn-sna_Latn,lug_Latn,sna_Latn,1,1,125637,125569,68,0.4822,1506.9
epo_Latn-hne_Deva,epo_Latn,hne_Deva,1,1,48566,48566,0,0.6788,619.3
guj_Gujr-nds_Latn,guj_Gujr,nds_Latn,1,1,43840,43840,0,0.6540,932.3
epo_Latn-hye_Armn,epo_Latn,hye_Armn,1,1,48320,48306,14,0.7676,560.3
