model,source_lang,target_lang,n_pairs,n_datasets,mean,std,min,max,p01,p05,p10,p25,p50,p75,p90,p95,p99
microsoft/harrier-oss-v1-0.6b,heb_Hebr,slv_Latn,1866,2,0.8997520208358765,0.03203090280294418,0.750189483165741,0.9834702610969543,0.805760857462883,0.8415899723768234,0.8565772175788879,0.8812190294265747,0.9037813544273376,0.9224364757537842,0.9371506571769714,0.94492506980896,0.9570615381002426
microsoft/harrier-oss-v1-0.6b,ell_Grek,nld_Latn,1866,2,0.9117315411567688,0.030454643070697784,0.7571190595626831,0.9829457998275757,0.8187244445085525,0.855195939540863,0.8714146316051483,0.8948964029550552,0.9158451855182648,0.9329389482736588,0.946147084236145,0.9536303728818893,0.9654868364334106
microsoft/harrier-oss-v1-0.6b,ceb_Latn,pol_Latn,1866,2,0.9083083271980286,0.03197256475687027,0.755713701248169,0.9924497008323669,0.8111684083938598,0.8486476242542267,0.8654247522354126,0.8896225392818451,0.9130337834358215,0.9315171539783478,0.9450558722019196,0.9516956657171249,0.9617542207241059
microsoft/harrier-oss-v1-0.6b,ind_Latn,rus_Cyrl,1866,2,0.9293434023857117,0.028394941240549088,0.6965514421463013,0.9855375289916992,0.8319086968898773,0.8781493306159973,0.8950833082199097,0.9167256653308868,0.9345566034317017,0.9482354074716568,0.9595113396644592,0.9649137407541275,0.9733412802219391
microsoft/harrier-oss-v1-0.6b,vec_Latn,tha_Thai,1012,1,0.8876981139183044,0.0328223742544651,0.7196851372718811,0.9574155807495117,0.795225430727005,0.8280266165733338,0.8452976405620575,0.8683820813894272,0.8932625651359558,0.9114098101854324,0.924014550447464,0.9325812995433808,0.9405892634391785
microsoft/harrier-oss-v1-0.6b,bel_Cyrl,slk_Latn,1866,2,0.916617751121521,0.030002405866980553,0.7634496688842773,0.9788109660148621,0.8273038774728775,0.8582397997379303,0.8759602010250092,0.9004886895418167,0.9211529493331909,0.9371887445449829,0.9517000615596771,0.9590100198984146,0.9699876815080642
microsoft/harrier-oss-v1-0.6b,rus_Cyrl,hrv_Latn,1866,2,0.9278653860092163,0.029235610738396645,0.775128185749054,0.9825114011764526,0.8317312240600586,0.8730670213699341,0.8898308873176575,0.9131068736314774,0.9331275820732117,0.9486145377159119,0.9590588212013245,0.9651566594839096,0.9739934414625168
microsoft/harrier-oss-v1-0.6b,srd_Latn,rus_Cyrl,1012,1,0.89438796043396,0.035408034920692444,0.7479941248893738,0.968752920627594,0.7847503912448883,0.8261743307113647,0.8462868154048919,0.8759289085865021,0.9003330767154694,0.918156310915947,0.9349150240421296,0.9407840877771377,0.9550257933139801
microsoft/harrier-oss-v1-0.6b,ind_Latn,pol_Latn,1866,2,0.9276744723320007,0.030723009258508682,0.7239334583282471,0.9859499335289001,0.832224291563034,0.8691266775131226,0.8886563181877136,0.9128672033548355,0.9333040118217468,0.9491030722856522,0.9607678055763245,0.9662877917289734,0.9754803419113159
microsoft/harrier-oss-v1-0.6b,swh_Latn,zho_Hans,1012,1,0.8564025163650513,0.03431706875562668,0.6950898170471191,0.937390923500061,0.7651010030508041,0.790461853146553,0.8086257040500641,0.8358177244663239,0.8619016408920288,0.8807628154754639,0.896316933631897,0.9054602056741714,0.9178244215250015
