lang_pair,source_lang,target_lang,model,MRR,n_rows_total,n_shards,data_mean,data_p05,data_p10,data_p50,gold_mean,gold_std,gold_q_value,gold_quantile,data_quantile,T_gold,T_data,T_raw,T_clipped,data_sanity_cap,T_keep_cap,T,eff_cap,gold_cap_value,confidence,has_benchmark,has_gold,kept_fraction_est
cat_Latn-nya_Latn,cat_Latn,nya_Latn,intfloat/multilingual-e5-large,0.9707599547697898,78578,1,0.8759944438934326,0.7881087511777878,0.8087255418300628,0.8853937387466431,0.8734825849533081,0.0257119182497262,0.8134233057498932,p01,p10,0.8134233057498932,0.8087255418300628,0.8087255418300628,0.8087255418300628,0.8853937387466431,0.8245535731315613,0.8087255418300628,0.8563118875026703,0.8563118875026703,mid,True,True,0.9
cat_Latn-snd_Arab,cat_Latn,snd_Arab,intfloat/multilingual-e5-large,0.9836384852424784,76870,1,0.7953290343284607,0.7331317633390426,0.7417688250541687,0.7826551496982574,0.8626936674118042,0.024852929636836,0.8009046882390976,p01,p10,0.8009046882390976,0.7417688250541687,0.7809046882390975,0.7809046882390975,0.7826551496982574,0.7471794406572978,0.7471794406572978,0.8477423191070557,0.8477423191070557,mid,True,True,0.85
cat_Latn-tha_Thai,cat_Latn,tha_Thai,jinaai/jina-embeddings-v3,0.9911779832670016,2172496,1,0.6531711220741272,0.2183869294822216,0.2914339005947113,0.710259199142456,0.817011296749115,0.0887702032923698,0.5366044640541077,p01,p10,0.5366044640541077,0.2914339005947113,0.5366044640541077,0.5366044640541077,0.710259199142456,0.3592238128185272,0.3592238128185272,0.7736627161502838,0.7736627161502838,high,True,True,0.85
cbk_Latn-fra_Latn,cbk_Latn,fra_Latn,,,181871,1,0.9104579091072084,0.7917721569538116,0.8286704421043396,0.9243942499160768,,,,p01,p10,,0.8286704421043396,0.7238279044628143,0.7238279044628143,0.9243942499160768,0.8458598057428995,0.7238279044628143,0.95,,no_benchmark,False,False,0.99
ceb_Latn-fij_Latn,ceb_Latn,fij_Latn,microsoft/harrier-oss-v1-0.6b,0.9597873307963636,283141,1,0.8692003488540649,0.7851434946060181,0.8039270043373108,0.8752890229225159,0.8809607625007629,0.0405309312045574,0.7746449273824692,p01,p10,0.7746449273824692,0.8039270043373108,0.8039270043373108,0.8039270043373108,0.8752890229225159,0.8152937889099121,0.8039270043373108,0.8544369637966156,0.8544369637966156,mid,True,True,0.9
ceb_Latn-jpn_Jpan,ceb_Latn,jpn_Jpan,microsoft/harrier-oss-v1-0.6b,0.983006655974324,445469,1,0.8139966726303101,0.7060268998146058,0.7240474700927735,0.8061882257461548,0.8891696929931641,0.0338116995990276,0.7868136316537857,p01,p10,0.7868136316537857,0.7240474700927735,0.7668136316537857,0.7668136316537857,0.8061882257461548,0.7348226428031922,0.7348226428031922,0.8698486387729645,0.8698486387729645,mid,True,True,0.8499999999999999
ceb_Latn-pag_Latn,ceb_Latn,pag_Latn,microsoft/harrier-oss-v1-0.6b,0.9829170944338927,210363,1,0.893486738204956,0.803506052494049,0.8256153225898742,0.8999378085136414,0.912385880947113,0.0384015850722789,0.7927393800020218,p01,p10,0.7927393800020218,0.8256153225898742,0.8256153225898742,0.8256153225898742,0.8999378085136414,0.8381134708722432,0.8256153225898742,0.8918889462947845,0.8918889462947845,mid,True,True,0.9
ceb_Latn-swe_Latn,ceb_Latn,swe_Latn,microsoft/harrier-oss-v1-0.6b,0.990886503452688,224871,1,0.834564745426178,0.7194240689277649,0.7353312969207764,0.8125150203704834,0.909077763557434,0.0327648818492889,0.806504026055336,p01,p10,0.806504026055336,0.7353312969207764,0.806504026055336,0.806504026055336,0.8125150203704834,0.7444420456886292,0.7444420456886292,0.8908714205026627,0.8908714205026627,high,True,True,0.85
ces_Latn-ayr_Latn,ces_Latn,ayr_Latn,microsoft/harrier-oss-v1-0.6b,0.7962633742742233,56443,1,0.8685727715492249,0.7430387973785401,0.7642961025238038,0.8732905387878418,0.8280034065246582,0.0491870865225791,0.7248047411441803,p01,p10,0.7248047411441803,0.7642961025238038,0.7096711504459381,0.7096711504459381,0.8732905387878418,0.7790412028630574,0.7096711504459381,0.7899563312530518,0.7899563312530518,low,True,True,0.99
ces_Latn-epo_Latn,ces_Latn,epo_Latn,jinaai/jina-embeddings-v3,1.0,2770206,1,0.7118511199951172,0.2862263470888138,0.3832001686096191,0.7628189325332642,0.8699093461036682,0.0653423443436622,0.6708310347795486,p01,p10,0.6708310347795486,0.3832001686096191,0.6708310347795486,0.6708310347795486,0.7628189325332642,0.4508423159519831,0.4508423159519831,0.8328105807304382,0.8328105807304382,high,True,True,0.85
