lang_pair,source_lang,target_lang,n_rows_total,n_shards,data_mean,data_p05,data_p10,data_p50,data_quantile,T_raw,T_clipped,data_sanity_cap,T_keep_cap,T,eff_cap,kept_fraction_est
eng_Latn-eml_Latn,eng_Latn,eml_Latn,144536,1,0.4050191342830658,0.1150000020861625,0.1599999964237213,0.3899999856948852,p10,0.1599999964237213,0.1599999964237213,0.3899999856948852,,0.1599999964237213,0.95,0.9
eng_Latn-fub_Latn,eng_Latn,fub_Latn,162265,1,0.4078956544399261,0.1299999952316284,0.1850000023841858,0.4099999964237213,p10,0.1850000023841858,0.1850000023841858,0.4099999964237213,,0.1850000023841858,0.95,0.9
eng_Latn-hat_Latn,eng_Latn,hat_Latn,13322044,1,0.6386923789978027,0.0025170615408569,0.0071530640125274,0.9468218684196472,p10,0.0071530640125274,0.05,0.9468218684196472,,0.05,0.95,0.8306816682600247
eng_Latn-ibo_Latn,eng_Latn,ibo_Latn,5780710,1,0.54892897605896,0.013879126869142,0.0832067430019378,0.5741057395935059,p10,0.0832067430019378,0.0832067430019378,0.5741057395935059,,0.0832067430019378,0.95,0.9
eng_Latn-kas_Arab,eng_Latn,kas_Arab,514269,1,0.3366158306598663,0.0020000000949949,0.0049999998882412,0.2169999927282333,p10,0.0049999998882412,0.05,0.2169999927282333,,0.05,0.95,0.7306629806736049
eng_Latn-kng_Latn,eng_Latn,kng_Latn,1173177,1,0.5056044459342957,0.1949999928474426,0.2549999952316284,0.5174999833106995,p10,0.2549999952316284,0.2549999952316284,0.5174999833106995,,0.2549999952316284,0.95,0.9
eng_Latn-lmo_Latn,eng_Latn,lmo_Latn,6079149,1,0.542161226272583,0.1800000071525573,0.2399999946355819,0.5425000190734863,p10,0.2399999946355819,0.2399999946355819,0.5425000190734863,,0.2399999946355819,0.95,0.9
eng_Latn-mar_Latn,eng_Latn,mar_Latn,70116,1,0.5059130787849426,0.2049999982118606,0.25,0.4925000071525574,p10,0.25,0.25,0.4925000071525574,,0.25,0.95,0.9
eng_Latn-mya_Mymr,eng_Latn,mya_Mymr,10731969,1,0.3153414726257324,0.0,0.1000000014901161,0.1000000014901161,p10,0.1000000014901161,0.1000000014901161,0.1000000014901161,,0.1000000014901161,0.95,0.9
eng_Latn-oci_Latn,eng_Latn,oci_Latn,1964163,1,0.3904463350772857,0.0,0.0,0.3000000119209289,p10,0.0,0.05,0.3000000119209289,,0.05,0.95,0.8250000011175871
eng_Latn-pol_Latn,eng_Latn,pol_Latn,227938949,4,0.719538688659668,0.387499988079071,0.4724999964237213,0.7662500143051147,p10,0.4724999964237213,0.4724999964237213,0.7662500143051147,,0.4724999964237213,0.95,0.9
eng_Latn-rus_Cyrl,eng_Latn,rus_Cyrl,274346794,6,0.8422441482543945,0.5400000214576721,0.6449999809265137,0.8899999856948853,p10,0.6449999809265137,0.6449999809265137,0.8899999856948853,,0.6449999809265137,0.95,0.9
eng_Latn-sot_Latn,eng_Latn,sot_Latn,1390168,1,0.6125103831291199,0.0909052491188049,0.1473225951194763,0.6897017359733582,p10,0.1473225951194763,0.1473225951194763,0.6897017359733582,,0.1473225951194763,0.95,0.9
eng_Latn-tat_Cyrl,eng_Latn,tat_Cyrl,8644118,1,0.5625197291374207,0.0188744198530912,0.0982977822422981,0.5946379899978638,p10,0.0982977822422981,0.0982977822422981,0.5946379899978638,,0.0982977822422981,0.95,0.9
eng_Latn-twi_Latn,eng_Latn,twi_Latn,3205705,1,0.4925186932086944,0.0006909266812726,0.0020145212765783,0.4803916215896606,p10,0.0020145212765783,0.05,0.4803916215896606,,0.05,0.95,0.7381369781956586
eng_Latn-uzn_Cyrl,eng_Latn,uzn_Cyrl,2243233,1,0.339878499507904,0.0049999998882412,0.0450000017881393,0.2849999964237213,p10,0.0450000017881393,0.05,0.2849999964237213,,0.05,0.95,0.8911764730631687
eng_Latn-yue_Hani,eng_Latn,yue_Hani,3392292,1,0.8094844818115234,0.5199999809265137,0.6075000166893005,0.8475000262260437,p10,0.6075000166893005,0.6075000166893005,0.8475000262260437,,0.6075000166893005,0.95,0.9
epo_Latn-ell_Grek,epo_Latn,ell_Grek,35144,1,0.342342346906662,0.0,0.0,0.2000000029802322,p10,0.0,0.05,0.2000000029802322,,0.05,0.95,0.6875000009313226
epo_Latn-heb_Hebr,epo_Latn,heb_Hebr,1730855,1,0.5599254965782166,0.0,0.0,0.550000011920929,p10,0.0,0.05,0.550000011920929,,0.05,0.95,0.8625000005587935
epo_Latn-khm_Khmr,epo_Latn,khm_Khmr,52168,1,0.6181626319885254,0.0035936026833951,0.0095382882282137,0.8745678067207336,p10,0.0095382882282137,0.05,0.8745678067207336,,0.05,0.95,0.8357193343537582
epo_Latn-nds_Latn,epo_Latn,nds_Latn,146252,1,0.5826108455657959,0.2599999904632568,0.324999988079071,0.5874999761581421,p10,0.324999988079071,0.324999988079071,0.5874999761581421,,0.324999988079071,0.95,0.9
epo_Latn-slv_Latn,epo_Latn,slv_Latn,1470369,1,0.6117691397666931,0.0,0.2000000029802322,0.6499999761581421,p10,0.2000000029802322,0.2000000029802322,0.6499999761581421,,0.2000000029802322,0.95,0.9
epo_Latn-tur_Latn,epo_Latn,tur_Latn,1051709,1,0.7103070020675659,0.0044882874935865,0.0169149134308099,0.9807077646255492,p10,0.0169149134308099,0.05,0.9807077646255492,,0.05,0.95,0.88405934189023
est_Latn-cat_Latn,est_Latn,cat_Latn,45006,1,0.5931988954544067,0.00263167405501,0.0066928509622812,0.8267117738723755,p10,0.0066928509622812,0.05,0.8267117738723755,,0.05,0.95,0.7959243671110174
est_Latn-glg_Latn,est_Latn,glg_Latn,384223,1,0.4380907714366913,0.0,0.0,0.25,p10,0.0,0.05,0.25,,0.05,0.95,0.7
est_Latn-kab_Latn,est_Latn,kab_Latn,62326,1,0.5307610034942627,0.1650000065565109,0.2349999994039535,0.5350000262260437,p10,0.2349999994039535,0.2349999994039535,0.5350000262260437,,0.2349999994039535,0.95,0.9
est_Latn-mhr_Cyrl,est_Latn,mhr_Cyrl,54784,1,0.6608232855796814,0.2750000059604645,0.3625000119209289,0.6974999904632568,p10,0.3625000119209289,0.3625000119209289,0.6974999904632568,,0.3625000119209289,0.95,0.9
est_Latn-por_Latn,est_Latn,por_Latn,6685588,1,0.7021194696426392,0.0023025597911328,0.0079909022897481,0.9900305867195128,p10,0.0079909022897481,0.05,0.9900305867195128,,0.05,0.95,0.8733761675001079
est_Latn-swe_Latn,est_Latn,swe_Latn,5352049,1,0.7617913484573364,0.2094696760177612,0.3126497566699981,0.8863080143928528,p10,0.3126497566699981,0.3126497566699981,0.8863080143928528,,0.3126497566699981,0.95,0.9
est_Latn-zho_Hans,est_Latn,zho_Hans,1442716,1,0.4047842919826507,0.0,0.0,0.25,p10,0.0,0.05,0.25,,0.05,0.95,0.7
eus_Latn-fur_Latn,eus_Latn,fur_Latn,34343,1,0.5209631323814392,0.2000000029802322,0.2599999904632568,0.5224999785423279,p10,0.2599999904632568,0.2599999904632568,0.5224999785423279,,0.2599999904632568,0.95,0.9
